20 resultados de 50 documentos (13 documentos relevantes)

ID                                              RELEVANCIA

bcc02862-c477-4b43-bca4-0c0ee638715e            R
978a60bf-f95b-46e8-a177-e55ed0b1fd54            R
6e23a682-d882-43f0-8c89-21f8157c820f            NR -> Estômago e Intestinos (Medicamento não desenvolvido especificamente para acne)
061d600c-8327-4688-8bde-61ffe0c885d6            R
f9bf1aa8-af24-4260-9c06-14e3f34885b8            R
f086cf12-4c20-499b-922f-1b954f1b61e4            NR -> Pilula (Medicamento não é feito especificamente para acne)
1aa2f636-8472-40e7-83ba-bbd7120e6062            NR -> Tratar sintomas de menopausa (Medicamento não é feito especificamente para acne)
3fc9bcea-712d-4973-9335-3d1d391fb069            R
f8b6e362-2148-4378-8f48-eef181a5e43b            R
ddadfd7b-dd7f-4e29-af2c-e44cd3143105            R
61b2b209-1c9f-4e2d-b822-d05ab94d76eb            NR -> Tratar sintomas de menopausa (Medicamento não é feito especificamente para acne)
b06d752a-400c-4fce-bd09-e624e9366ed4            R
d9ddee24-3aa2-4175-946f-49f7739b0446            R
ff6d38dc-3b94-4335-a852-a7e37a1ed2ad            NR Pilula (Medicamento não é feito especificamente para acne)
a89870bf-7268-4d05-9ad3-437ce8345339            R
8f0f62b3-5643-470e-9756-2987b2ed4b74            NR -> Treat Crohn's disease
e4259df5-7dc8-4e66-8c6c-5ef2b4700fce            NR -> Pilula (Medicamento não é feito especificamente para acne)
f6d144ca-5420-4b4d-8c1a-f54aa16c087f            R
09da36dc-7bc3-48b9-a5ad-7eff8a36ea71            R
978a60bf-f95b-46e8-a177-e55ed0b1fd54            R
a5ab3cab-790c-43dc-9009-17d652e5fd64            NR -> Pilula (Medicamento não é feito especificamente para acne)
